;Full Name;Position;20-Yard Shuttle;3-Cone Drill;40-Yard Dash;Agility Score;Athleticism Score;Bench Press;Broad Jump;Burst Score;Height-adjusted Speed Score;SPARQ-x;Speed Score;Vertical Jump;Age;Arm Length;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team;Weight
33;Andy Gallik;OL;4,58;7,66;5,5;12,24;100,1;29,0;96,0;93,9;;105,8;66,9;27,0;29,4;32 3/4;Chase Roullier;Senio Kelemete;Josh LeRibeus;Zac Kerin;Evan Boehm;Boston College;6.32;2015;10 1/4;74;;306 lbs
34;Andy Levitre;OL;4,52;;5,33;;;23,0;103,0;103,4;;100,8;75,6;30,5;;;;;;;;;;;;;;
35;Anthony Castonzo;OL;4,4;7,25;5,21;11,65;100,9;28,0;105,0;102,7;;115,8;84,4;29,5;32,5;34 1/2;Tyler Johnstone;Jake Matthews;Joe Haeg;Ulrick John;David DeCastro;Boston College;1.22;2011;10 5/8;79;Indianapolis Colts;311 lbs
36;Anthony Davis;OL;4,97;8,17;5,36;13,14;;21,0;;;;93,1;78,3;33,0;31,3;34    ;Avery Young;Nila Kasitati;Andrew Norwell;Joe Barksdale;LaAdrian Waddle;Rutgers;1.11;2010;;77;;323 lbs
37;Anthony Fabiano;OL;4,42;7,41;5,09;11,83;109,4;25,0;108,0;109,3;;113,5;90,3;32,5;27,6;31 1/2;Michael Liedtke;Demetrius Rhaney;Josh Allen;Will Pericak;A.Q. Shipley;Harvard;Undrafted;2016;9 3/8;73;Tampa Bay Buccaneers;303 lbs
38;Anthony Steen;OL;4,71;7,95;5,38;12,66;;;106,0;95,5;;;75,0;25,0;30,7;30 1/2;Austin Shepherd;Isaac Asiata;Willie Beavers;Spencer Drango;Cole Toner;Alabama;Undrafted;2014;9 1/8;75;;314 lbs
39;Antonio Garcia;OL;4,94;7,98;5,15;12,92;98,0;24,0;108,0;106,7;;96,5;85,9;31,0;27,1;33 3/8;Sean Harlow;Ricky Wagner;Bryan Witzmann;Justin Murray;Dieugot Joseph;Troy;3.02;2017;9 7/8;78;;302 lbs
40;Arie Kouandjio;OL;;;5,48;;;;;;;;68,7;;28,8;34 1/8;A.J. Cann;Darrell Williams;Chris Watt;Dan France;Josh James;Alabama;4.13;2015;10 7/8;77;;310 lbs
41;Arlington Hambright;OL;;;5,02;;;29,0;109,0;103,0;;;96,7;28,5;25,0;32 5/8;Array;Colorado;7.12;2020;9 3/8;76;Chicago Bears;307 lbs;;;;
42;Austin Blythe;OL;4,53;7,52;5,36;12,05;101,4;29,0;99,0;96,3;;107,9;72,2;27,5;28,6;30 1/4;Matt Paradis;Evan Boehm;Marshal Yanda;Dan Feeney;Isaac Seumalo;Iowa;7.28;2016;9 3/8;74;Los Angeles Rams;298 lbs
43;Austin Corbett;OL;4,5;7,87;5,15;12,37;99,8;19,0;106,0;100,6;;94,3;87,0;28,0;25,4;33 1/8;La'el Collins;Christian Westerman;Nick Easton;Russell Okung;Orlando Franklin;Nevada;2.01;2018;10 1/2;76;Los Angeles Rams;306 lbs
44;Austin Howard;OL;4,62;8,1;5,45;12,72;96,8;19,0;109,0;106,4;;93,6;74,8;30,5;;;;;;;;;;;;;;
45;Austin Jackson;OL;;7,95;5,07;;;27,0;115,0;110,2;;;97,5;31,0;21,5;34 1/8;Array;USC;1.18;2020;10 1/4;77;Miami Dolphins;322 lbs;;;;
46;Austin Pasztor;OL;4,63;7,54;5,47;12,17;95,8;24,0;113,0;107,5;;97,7;68,1;30,0;;;;;;;;;;;;;;
47;Austin Reiter;OL;4,53;7,65;5,22;12,18;;;107,0;111,3;;;80,8;34,0;29,2;32    ;T.J. Clemmings;Connor McGovern;Givens Price;Mitch Morse;Alex Balducci;South Florida;7.05;2015;9 1/2;75;Kansas City Chiefs;300 lbs
48;Austin Schlottmann;OL;;;5,05;;;32,0;;;;;92,3;;;;;;;;;;;;;;;
49;Austin Shepherd;OL;4,7;8,04;5,39;12,74;95,9;17,0;94,0;96,3;;85,0;74,6;29,0;28,7;32 7/8;Rashod Hill;Anthony Steen;Jordan Morgan;Isaac Asiata;Ted Karras;Alabama;7.11;2015;10    ;76;;315 lbs
50;Avery Gennesy;OL;5,0;8,08;5,35;13,08;95,2;24,0;91,0;79,5;;82,0;77,6;20,0;27,0;33 5/8;Jason Weaver;Andrew Tiller;Sebastian Tretola;Darrell Greene;Jon Halapio;Texas A&M;Undrafted;2017;9 1/2;75;Tennessee Titans;318 lbs
51;Avery Young;OL;4,91;8,22;5,39;13,13;;;;;;;77,7;;28,2;33 3/4;Anthony Davis;Joe Barksdale;Andrew Norwell;Chris Scott;Matt Feiler;Auburn;Undrafted;2016;10 1/2;76;;328 lbs
52;Aviante Collins;OL;;;4,81;;;34,0;;;;;110,2;;-3,2;33 3/8;Richie Incognito;Matt Tobin;Hroniss Grasu;Greg Mancz;Jeremy Zuttah;TCU;Undrafted;2017;9 3/8;76;Minnesota Vikings;295 lbs
53;B.J. Finney;OL;4,76;;5,25;;;20,0;99,0;90,3;;85,3;83,7;24,0;29,3;32    ;Travis Swanson;T.J. Johnson;Matt McCants;Ryan Jensen;Kansas State;Undrafted;2015;10    ;76;Seattle Seahawks;318 lbs;
54;Beau Benzschawel;OL;4,74;7,48;5,24;12,22;95,8;20,0;98,0;94,1;;87,4;82,0;26,5;25,4;33 3/8;Ryan Jensen;Luke Bowanko;Breno Giacomini;Nick Martin;Steven Moore;Wisconsin;Undrafted;2019;9 5/8;78;Detroit Lions;309 lbs
55;Ben Braden;OL;4,9;7,85;5,04;12,75;102,3;25,0;102,0;98,6;;102,0;102,0;28,0;26,9;34    ;Cam Robinson;John Jerry;Alex Boone;Kelechi Osemele;Brandon Scherff;Michigan;Undrafted;2017;9 7/8;78;;329 lbs
56;Ben Garland;OL;4,47;7,14;5,12;11,61;100,9;18,0;112,0;115,5;;99,5;83,8;35,0;;;;;;;;;;;;;;
57;Ben Ijalana;OL;4,7;7,75;5,25;12,45;;;105,0;95,9;;;83,5;25,5;31,5;36    ;Parker Ehinger;Bryan Bulaga;Spencer Drango;Sam Tevi;Donavon Clark;Villanova;2.17;2011;10 1/2;76;;317 lbs
58;Ben Jones;OL;4,74;7,95;5,44;12,69;100,3;29,0;105,0;104,4;;106,3;69,2;30,5;31,6;32 1/2;Adam Pankey;Alex Redmond;Amini Silatolu;Andy Levitre;Jason King;Georgia;4.04;2012;9 5/8;75;Tennessee Titans;303 lbs
59;Ben Powers;OL;4,83;;;;;21,0;97,0;97,8;;;;;24,3;33 3/4;Sam Tevi;Ben Ijalana;Kenny Wiggins;Max Tuerk;Laremy Tunsil;Oklahoma;4.21;2019;9 7/8;76;Baltimore Ravens;307 lbs
