;Full Name;Position;Weight;20-Yard Shuttle;3-Cone Drill;Athleticism Score;Broad Jump;Burst Score;40-Yard Dash;Agility Score;Catch Radius;Height-adjusted Speed Score;Assisted Tackles (2016);Assisted Tackles (2017);Assisted Tackles (2018);Assisted Tackles (2019);Assisted Tackles (2020);Forced Fumbles (2016);Forced Fumbles (2017);Forced Fumbles (2018);Forced Fumbles (2019);Forced Fumbles (2020);Fumble Recoveries (2016);Fumble Recoveries (2017);Fumble Recoveries (2018);Fumble Recoveries (2019);Fumble Recoveries (2020);Interceptions (2016);Interceptions (2017);Interceptions (2018);Interceptions (2019);Interceptions (2020);Pass Break-ups (2017);Pass Break-ups (2018);Pass Break-ups (2019);Pass Break-ups (2020);SPARQ-x;Sack Yards (2016);Sack Yards (2017);Sack Yards (2018);Sack Yards (2019);Sack Yards (2020);Sacks (2016);Sacks (2017);Sacks (2018);Sacks (2019);Sacks (2020);Snap Share (2016);Snap Share (2017);Snap Share (2018);Snap Share (2019);Snap Share (2020);Vertical Jump;Assisted Tackles Per Game (2016);Assisted Tackles Per Game (2017);Assisted Tackles Per Game (2018);Assisted Tackles Per Game (2019);Assisted Tackles Per Game (2020);Batted Passes (2016);Batted Passes (2017);Batted Passes (2018);Batted Passes (2019);Batted Passes (2020);Run Stuffs (2016);Run Stuffs (2017);Run Stuffs (2018);Run Stuffs (2019);Run Stuffs (2020);Snaps (2016);Snaps (2017);Snaps (2018);Snaps (2019);Snaps (2020);Solo Tackles (2016);Solo Tackles (2017);Solo Tackles (2018);Solo Tackles (2019);Solo Tackles (2020);Solo Tackles Per Game (2016);Solo Tackles Per Game (2017);Solo Tackles Per Game (2018);Solo Tackles Per Game (2019);Solo Tackles Per Game (2020);Tackles For Loss (2016);Tackles For Loss (2017);Tackles For Loss (2018);Tackles For Loss (2019);Tackles For Loss (2020);Total Tackles (2016);Total Tackles (2017);Total Tackles (2018);Total Tackles (2019);Total Tackles (2020);Total Tackles Per Game (2016);Total Tackles Per Game (2017);Total Tackles Per Game (2018);Total Tackles Per Game (2019);Total Tackles Per Game (2020);Age;Arm Length;BMI;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team
335;Eddie Jackson;;;;;;;;;;;;0,0;19,0;13,0;8,0;18,0;0,0;1,0;1,0;1,0;3,0;0,0;3,0;1,0;1,0;1,0;0,0;2,0;6,0;2,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;2,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;;;99.9%;100.0%;97.3%;;;1,2;0,9;0,5;1,3;0,0;3,0;8,0;3,0;4,0;0,0;1,0;1,0;4,0;1,0;0,0;0,0;906,0;979,0;923,0;0,0;50,0;37,0;53,0;59,0;;3,1;2,6;3,5;4,2;0,0;1,0;1,0;4,0;1,0;0,0;69,0;50,0;61,0;77,0;;4,3;3,6;4,1;5,5;27,1;32 1/4;27,3;Bacarri Rambo;Kurt Coleman;K.J. Dillon;Jimmie Ward;Malik Golden;Alabama;4.05;2017;9 1/4;72;Chicago Bears
336;Julian Blackmon;;;;;;;;;;;;;;;;8,0;;;;;1,0;;;;;0,0;;;;;2,0;;;;0,0;;;;;;0,0;;;;;0,0;;;;;87.4%;;;;;;0,6;;;;;4,0;;;;;2,0;;;;;817,0;;;;;27,0;;;;;2,1;;;;;2,0;;;;;35,0;;;;;2,7;22,4;31    ;25,4;Marqui Christian;Anthony Harris;Duron Harmon;Damontae Kazee;Chris Conte;Utah;3.21;2020;9    ;72;Indianapolis Colts
337;Karl Joseph;;;;;;;;;;;;18,0;28,0;16,0;15,0;15,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;;0,0;7,0;9,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;93.4%;;80.7%;100.0%;64.2%;;1,8;1,9;1,6;1,7;1,4;0,0;3,0;1,0;2,0;3,0;1,0;1,0;0,0;2,0;0,0;591,0;0,0;617,0;562,0;741,0;42,0;50,0;30,0;33,0;38,0;4,2;3,3;3,0;3,7;3,5;1,0;1,0;0,0;2,0;1,0;60,0;78,0;46,0;48,0;53,0;6,0;5,2;4,6;5,3;4,8;27,5;32 1/8;30,3;Darian Stewart;T.J. Ward;Marqui Christian;Calvin Pryor;Jermaine Whitehead;West Virginia;1.14;2016;9 3/4;69;Cleveland Browns
338;Malik Hooker;;;;;;;;;;;;0,0;6,0;16,0;23,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;3,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;100.0%;98.4%;73.7%;;;0,9;1,2;1,9;1,0;0,0;1,0;2,0;2,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;835,0;739,0;95,0;0,0;15,0;28,0;28,0;5,0;;2,1;2,2;2,3;2,5;0,0;0,0;0,0;1,0;0,0;0,0;21,0;44,0;51,0;7,0;;3,0;3,4;4,3;3,5;24,8;32 1/4;27,2;Reggie Nelson;J.J. Wilcox;Darian Stewart;Malik Golden;T.J. Ward;Ohio St.;1.15;2017;10 3/4;73;Indianapolis Colts
339;Marcell Harris;;;;;;;;;;;;;;13,0;17,0;7,0;;;0,0;3,0;2,0;;;0,0;1,0;2,0;;;0,0;0,0;0,0;;0,0;0,0;0,0;;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;80.4%;71.7%;51.1%;;;;1,9;2,4;0,9;;;0,0;5,0;3,0;;;3,0;0,0;0,0;;;445,0;452,0;464,0;;;17,0;17,0;16,0;;;2,4;2,4;2,0;;;3,0;0,0;0,0;;;30,0;34,0;23,0;;;4,3;4,9;2,9;26,7;32    ;28,5;Adrian Amos;J.J. Wilcox;Darian Stewart;T.J. Ward;Jeff Heath;Florida;6.10;2018;8 5/8;73;San Francisco 49ers
340;Mike Adams;;;;;;;;;;;;18,0;24,0;33,0;0,0;;2,0;2,0;0,0;0,0;;2,0;2,0;0,0;0,0;;2,0;2,0;3,0;0,0;;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;;100.0%;;98.6%;42.1%;;;1,3;1,5;2,1;0,0;;0,0;8,0;3,0;0,0;;1,0;1,0;2,0;0,0;;942,0;0,0;951,0;126,0;;61,0;44,0;42,0;2,0;;4,4;2,8;2,6;1,0;;1,0;1,0;3,0;0,0;;79,0;68,0;75,0;2,0;;5,6;4,3;4,7;1,0;;39,9;;26,8;Keith Tandy;Mykkele Thompson;Isa Abdul-Quddus;Marqui Christian;Duron Harmon;Delaware;Undrafted;2004;;71;
341;Mike Mitchell;;;;;;;;;;;;27,0;20,0;9,0;;;0,0;0,0;2,0;;;1,0;1,0;0,0;;;1,0;0,0;1,0;;;0,0;0,0;;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;100.0%;;53.0%;;;37,5;1,7;1,5;1,3;;;0,0;2,0;1,0;;;0,0;1,0;0,0;;;1004,0;0,0;396,0;;;51,0;33,0;18,0;;;3,2;2,5;2,6;;;0,0;1,0;1,0;;;78,0;53,0;27,0;;;4,9;4,1;3,9;;;33,7;;29,8;Adrian Amos;J.J. Wilcox;Darian Stewart;T.J. Ward;Jeff Heath;Ohio;2.15;2009;;72;
342;Rudy Ford;;;;;;;;;;;;0,0;0,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;18.6%;6.5%;0.0%;;;;0,5;0,3;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;291,0;245,0;79,0;0,0;0,0;1,0;1,0;0,0;;;0,3;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;2,0;0,0;;;0,8;0,5;0,0;26,2;30    ;28,6;Bacarri Rambo;J.J. Wilcox;K.J. Dillon;Malik Golden;Darian Stewart;Auburn;6.24;2017;8 7/8;71;Philadelphia Eagles
343;Vernon Scott;;;;;;;;;;;;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;;;;;;1,0;;;;;1,0;;;;;13.8%;;;;;;0,0;;;;;0,0;;;;;0,0;;;;;246,0;;;;;5,0;;;;;1,3;;;;;1,0;;;;;5,0;;;;;1,3;;;27,2;Malik Golden;Darian Stewart;Donovan Wilson;Ronnie Harrison;Damon Webb;TCU;7.22;2020;;73;Green Bay Packers
344;Will Redmond;;;;;;;;;;;;;;;9,0;6,0;;;;0,0;0,0;;;;0,0;0,0;;;0,0;0,0;0,0;;0,0;0,0;0,0;;;;;0,0;0,0;;;;0,0;0,0;;;0.5%;64.3%;53.3%;;;;;1,5;0,8;;;;1,0;1,0;;;;1,0;0,0;;;1,0;387,0;484,0;;;;17,0;16,0;;;;2,8;2,0;;;;1,0;0,0;;;;26,0;22,0;;;;4,3;2,8;27,1;30 3/8;25,4;Blake Countess;Charlie Miller;Jordan Simone;Michael B. Thomas;Kurt Coleman;Mississippi State;3.05;2016;9 1/8;71;Green Bay Packers
345;William Likely;;;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;0,0;0,0;;0,0;;;;;0,0;;;;;0,0;0,0;;;;;;;;;;;;;;;0,0;;;;;0,0;0,0;;;;0,0;0,0;0,0;0,0;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;26,5;29    ;28,2;Jerraud Powers;Tyrann Mathieu;Adam Jones;K'Waun Williams;Senquez Golson;Maryland;Undrafted;2017;9 1/2;67;
346;Grant Delpit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,4;30 3/8;26,6;Adrian Amos;Jaylinn Hawkins;Kamren Curl;Ronnie Harrison;Bacarri Rambo;LSU;2.12;2020;9 1/8;75;Cleveland Browns
347;Kenny Robinson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,1;;26,6;Donovan Wilson;Ronnie Harrison;Damon Webb;Trey Marshall;Isa Abdul-Quddus;West Virginia;5.06;2020;;73;Carolina Panthers
348;Sam Franklin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;31 3/4;26,2;Khari Willis;J.R. Reed;Jaylinn Hawkins;Kamren Curl;Malik Golden;Temple;Undrafted;2020;9 1/2;74;Carolina Panthers
349;Shyheim Carter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29 5/8;27,1;Vonn Bell;J.R. Reed;Marqui Christian;Isa Abdul-Quddus;Duron Harmon;Alabama;Undrafted;2020;9 1/2;71;
350;Tigie Sankoh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,2;;29,8;Adrian Amos;J.J. Wilcox;Malik Golden;Darian Stewart;T.J. Ward;Greenwich;Undrafted;2018;;71;
